"","sat","yr","doy","time","utm","site","evi","uniqueuserid"
"1","L",2013,106,2013-04-16,43,"524420-1",NA,"524420"
"2","L",2013,115,2013-04-25,43,"524420-1",0.153605936048684,"524420"
"3","L",2013,122,2013-05-02,43,"524420-1",NA,"524420"
"4","L",2013,131,2013-05-11,43,"524420-1",NA,"524420"
"5","L",2013,138,2013-05-18,43,"524420-1",NA,"524420"
"6","L",2013,147,2013-05-27,43,"524420-1",0.0809194025803828,"524420"
"7","L",2013,154,2013-06-03,43,"524420-1",NA,"524420"
"8","L",2013,163,2013-06-12,43,"524420-1",0.111801392380584,"524420"
"9","L",2013,170,2013-06-19,43,"524420-1",NA,"524420"
"10","L",2013,179,2013-06-28,43,"524420-1",NA,"524420"
"11","L",2013,186,2013-07-05,43,"524420-1",NA,"524420"
"12","L",2013,195,2013-07-14,43,"524420-1",NA,"524420"
"13","L",2013,202,2013-07-21,43,"524420-1",NA,"524420"
"14","L",2013,211,2013-07-30,43,"524420-1",NA,"524420"
"15","L",2013,218,2013-08-06,43,"524420-1",NA,"524420"
"16","L",2013,227,2013-08-15,43,"524420-1",NA,"524420"
"17","L",2013,234,2013-08-22,43,"524420-1",NA,"524420"
"18","L",2013,243,2013-08-31,43,"524420-1",0.706738579892966,"524420"
"19","L",2013,250,2013-09-07,43,"524420-1",NA,"524420"
"20","L",2013,259,2013-09-16,43,"524420-1",NA,"524420"
"21","L",2013,266,2013-09-23,43,"524420-1",NA,"524420"
"22","L",2013,275,2013-10-02,43,"524420-1",0.313602916694413,"524420"
"23","L",2013,282,2013-10-09,43,"524420-1",NA,"524420"
"24","L",2013,291,2013-10-18,43,"524420-1",NA,"524420"
"25","L",2013,298,2013-10-25,43,"524420-1",NA,"524420"
"26","L",2013,307,2013-11-03,43,"524420-1",0.241899558455511,"524420"
"27","L",2013,314,2013-11-10,43,"524420-1",NA,"524420"
"28","L",2013,323,2013-11-19,43,"524420-1",NA,"524420"
"29","L",2013,330,2013-11-26,43,"524420-1",NA,"524420"
"30","L",2013,339,2013-12-05,43,"524420-1",0.116534626505712,"524420"
"31","L",2013,346,2013-12-12,43,"524420-1",NA,"524420"
"32","L",2013,355,2013-12-21,43,"524420-1",NA,"524420"
"33","L",2013,362,2013-12-28,43,"524420-1",NA,"524420"
"34","L",2014,6,2014-01-06,43,"524420-1",NA,"524420"
"35","L",2014,13,2014-01-13,43,"524420-1",NA,"524420"
"36","L",2014,22,2014-01-22,43,"524420-1",NA,"524420"
"37","L",2014,29,2014-01-29,43,"524420-1",NA,"524420"
"38","L",2014,38,2014-02-07,43,"524420-1",NA,"524420"
"39","L",2014,45,2014-02-14,43,"524420-1",NA,"524420"
"40","L",2014,54,2014-02-23,43,"524420-1",NA,"524420"
"41","L",2014,61,2014-03-02,43,"524420-1",NA,"524420"
"42","L",2014,70,2014-03-11,43,"524420-1",NA,"524420"
"43","L",2014,77,2014-03-18,43,"524420-1",NA,"524420"
"44","L",2014,86,2014-03-27,43,"524420-1",NA,"524420"
"45","L",2014,93,2014-04-03,43,"524420-1",NA,"524420"
"46","L",2014,102,2014-04-12,43,"524420-1",0.288299749661427,"524420"
"47","L",2014,109,2014-04-19,43,"524420-1",NA,"524420"
"48","L",2014,118,2014-04-28,43,"524420-1",0.120976653832284,"524420"
"49","L",2014,125,2014-05-05,43,"524420-1",NA,"524420"
"50","L",2014,134,2014-05-14,43,"524420-1",NA,"524420"
"51","L",2014,141,2014-05-21,43,"524420-1",NA,"524420"
"52","L",2014,150,2014-05-30,43,"524420-1",0.096316535577099,"524420"
"53","L",2014,157,2014-06-06,43,"524420-1",NA,"524420"
"54","L",2014,166,2014-06-15,43,"524420-1",0.114276165985069,"524420"
"55","L",2014,173,2014-06-22,43,"524420-1",NA,"524420"
"56","L",2014,182,2014-07-01,43,"524420-1",NA,"524420"
"57","L",2014,189,2014-07-08,43,"524420-1",NA,"524420"
"58","L",2014,198,2014-07-17,43,"524420-1",NA,"524420"
"59","L",2014,205,2014-07-24,43,"524420-1",NA,"524420"
"60","L",2014,214,2014-08-02,43,"524420-1",0.629090253066912,"524420"
"61","L",2014,221,2014-08-09,43,"524420-1",NA,"524420"
"62","L",2014,230,2014-08-18,43,"524420-1",0.631683853719087,"524420"
"63","L",2014,237,2014-08-25,43,"524420-1",NA,"524420"
"64","L",2014,246,2014-09-03,43,"524420-1",NA,"524420"
"65","L",2014,253,2014-09-10,43,"524420-1",NA,"524420"
"66","L",2014,262,2014-09-19,43,"524420-1",0.474593630236554,"524420"
"67","L",2014,269,2014-09-26,43,"524420-1",NA,"524420"
"68","L",2014,278,2014-10-05,43,"524420-1",0.314577149784708,"524420"
"69","L",2014,285,2014-10-12,43,"524420-1",NA,"524420"
"70","L",2014,294,2014-10-21,43,"524420-1",0.232717270534674,"524420"
"71","L",2014,301,2014-10-28,43,"524420-1",NA,"524420"
"72","L",2014,310,2014-11-06,43,"524420-1",0.191032681489419,"524420"
"73","L",2014,317,2014-11-13,43,"524420-1",NA,"524420"
"74","L",2014,326,2014-11-22,43,"524420-1",0.0990531728916508,"524420"
"75","L",2014,333,2014-11-29,43,"524420-1",NA,"524420"
"76","L",2014,342,2014-12-08,43,"524420-1",0.104121832037876,"524420"
"77","L",2014,349,2014-12-15,43,"524420-1",NA,"524420"
"78","L",2014,358,2014-12-24,43,"524420-1",NA,"524420"
"79","L",2014,365,2014-12-31,43,"524420-1",NA,"524420"
"80","L",2015,9,2015-01-09,43,"524420-1",NA,"524420"
"81","L",2015,16,2015-01-16,43,"524420-1",NA,"524420"
"82","L",2015,25,2015-01-25,43,"524420-1",NA,"524420"
"83","L",2015,32,2015-02-01,43,"524420-1",NA,"524420"
"84","L",2015,41,2015-02-10,43,"524420-1",0.612847153375368,"524420"
"85","L",2015,48,2015-02-17,43,"524420-1",NA,"524420"
"86","L",2015,57,2015-02-26,43,"524420-1",0.646429947348144,"524420"
"87","L",2015,64,2015-03-05,43,"524420-1",NA,"524420"
"88","L",2015,73,2015-03-14,43,"524420-1",NA,"524420"
"89","L",2015,80,2015-03-21,43,"524420-1",NA,"524420"
"90","L",2015,89,2015-03-30,43,"524420-1",NA,"524420"
"91","L",2015,96,2015-04-06,43,"524420-1",NA,"524420"
"92","L",2015,105,2015-04-15,43,"524420-1",0.144860825300552,"524420"
"93","L",2015,112,2015-04-22,43,"524420-1",NA,"524420"
"94","L",2015,121,2015-05-01,43,"524420-1",0.13758244134501,"524420"
"95","L",2015,128,2015-05-08,43,"524420-1",NA,"524420"
"96","L",2015,137,2015-05-17,43,"524420-1",0.10872150307478,"524420"
"97","L",2015,144,2015-05-24,43,"524420-1",NA,"524420"
"98","L",2015,153,2015-06-02,43,"524420-1",0.0837962076230608,"524420"
"99","L",2015,160,2015-06-09,43,"524420-1",NA,"524420"
"100","L",2015,169,2015-06-18,43,"524420-1",0.107888000362458,"524420"
"101","L",2015,176,2015-06-25,43,"524420-1",NA,"524420"
"102","L",2015,185,2015-07-04,43,"524420-1",0.197673870519196,"524420"
"103","L",2015,192,2015-07-11,43,"524420-1",NA,"524420"
"104","L",2015,201,2015-07-20,43,"524420-1",NA,"524420"
"105","L",2015,208,2015-07-27,43,"524420-1",NA,"524420"
"106","L",2015,217,2015-08-05,43,"524420-1",NA,"524420"
"107","L",2015,224,2015-08-12,43,"524420-1",NA,"524420"
"108","L",2015,233,2015-08-21,43,"524420-1",0.561449221415721,"524420"
"109","L",2015,240,2015-08-28,43,"524420-1",NA,"524420"
"110","L",2015,249,2015-09-06,43,"524420-1",0.399678077184522,"524420"
"111","L",2015,256,2015-09-13,43,"524420-1",NA,"524420"
"112","L",2015,265,2015-09-22,43,"524420-1",NA,"524420"
"113","L",2015,272,2015-09-29,43,"524420-1",NA,"524420"
"114","L",2015,281,2015-10-08,43,"524420-1",0.165452395483674,"524420"
"115","L",2015,288,2015-10-15,43,"524420-1",NA,"524420"
"116","L",2015,297,2015-10-24,43,"524420-1",0.158785471951187,"524420"
"117","L",2015,304,2015-10-31,43,"524420-1",NA,"524420"
"118","L",2015,313,2015-11-09,43,"524420-1",NA,"524420"
"119","L",2015,320,2015-11-16,43,"524420-1",NA,"524420"
"120","S",2015,324,2015-11-20,43,"524420-1",0.14383731234362,"524420"
"121","L",2015,329,2015-11-25,43,"524420-1",0.101936312863377,"524420"
"122","S",2015,334,2015-11-30,43,"524420-1",0.152120591366693,"524420"
"123","L",2015,336,2015-12-02,43,"524420-1",NA,"524420"
"124","L",2015,345,2015-12-11,43,"524420-1",NA,"524420"
