"","NDVI","Dates","Legend"
"1",0.6026,2002-07-04,"NDVI"
"2",0.5945,2002-07-12,"NDVI"
"3",0.6228,2002-07-20,"NDVI"
"4",0.6588,2002-07-28,"NDVI"
"5",0.6686,2002-08-05,"NDVI"
"6",0.6478,2002-08-13,"NDVI"
"7",0.9064,2002-08-21,"NDVI"
"8",0.8292,2002-08-29,"NDVI"
"9",0.8393,2002-09-06,"NDVI"
"10",0.7515,2002-09-14,"NDVI"
"11",0.6309,2002-09-22,"NDVI"
"12",0.4128,2002-09-30,"NDVI"
"13",0.508,2002-10-08,"NDVI"
"14",0.1704,2002-10-16,"NDVI"
"15",0.1483,2002-10-24,"NDVI"
"16",0.1704,2002-11-01,"NDVI"
"17",0.2087,2002-11-09,"NDVI"
"18",0.4022,2002-11-17,"NDVI"
"19",0.5335,2002-11-25,"NDVI"
"20",0.5613,2002-12-03,"NDVI"
"21",0.6564,2002-12-11,"NDVI"
"22",0.774,2002-12-19,"NDVI"
"23",0.8168,2002-12-27,"NDVI"
"24",0.4789,2003-01-01,"NDVI"
"25",0.832,2003-01-09,"NDVI"
"26",0.7867,2003-01-17,"NDVI"
"27",0.8666,2003-01-25,"NDVI"
"28",0.828,2003-02-02,"NDVI"
"29",0.8041,2003-02-10,"NDVI"
"30",0.7836,2003-02-18,"NDVI"
"31",0.7365,2003-02-26,"NDVI"
"32",0.6346,2003-03-06,"NDVI"
"33",0.5964,2003-03-14,"NDVI"
"34",0.3054,2003-03-22,"NDVI"
"35",0.2172,2003-03-30,"NDVI"
"36",0.2192,2003-04-07,"NDVI"
"37",0.2218,2003-04-15,"NDVI"
"38",0.2069,2003-04-23,"NDVI"
"39",0.1817,2003-05-01,"NDVI"
"40",0.1479,2003-05-09,"NDVI"
"41",0.1585,2003-05-17,"NDVI"
"42",0.195,2003-05-25,"NDVI"
"43",0.1764,2003-06-02,"NDVI"
"44",0.1908,2003-06-10,"NDVI"
"45",0.296,2003-06-18,"NDVI"
"46",0.2666,2003-06-26,"NDVI"
"47",0.7699,2003-07-04,"NDVI"
"48",0.7554,2003-07-12,"NDVI"
"49",0.1146,2003-07-20,"NDVI"
"50",0.8223,2003-07-28,"NDVI"
"51",0.8233,2003-08-05,"NDVI"
"52",0.7676,2003-08-13,"NDVI"
"53",0.8493,2003-08-21,"NDVI"
"54",0.76,2003-08-29,"NDVI"
"55",0.8503,2003-09-06,"NDVI"
"56",0.7165,2003-09-14,"NDVI"
"57",0.676,2003-09-22,"NDVI"
"58",0.4662,2003-09-30,"NDVI"
"59",0.4478,2003-10-08,"NDVI"
"60",0.4069,2003-10-16,"NDVI"
"61",0.2261,2003-10-24,"NDVI"
"62",0.179,2003-11-01,"NDVI"
"63",0.1604,2003-11-09,"NDVI"
"64",0.2854,2003-11-17,"NDVI"
"65",0.3196,2003-11-25,"NDVI"
"66",0.5749,2003-12-03,"NDVI"
"67",0.5541,2003-12-11,"NDVI"
"68",0.8309,2003-12-19,"NDVI"
"69",0.8146,2003-12-27,"NDVI"
"70",0.8309,2004-01-01,"NDVI"
"71",0.8146,2004-01-09,"NDVI"
"72",0.7109,2004-01-17,"NDVI"
"73",0.8704,2004-01-25,"NDVI"
"74",0.8569,2004-02-02,"NDVI"
"75",0.8698,2004-02-10,"NDVI"
"76",0.7951,2004-02-18,"NDVI"
"77",0.7522,2004-02-26,"NDVI"
"78",0.5818,2004-03-05,"NDVI"
"79",0.3861,2004-03-13,"NDVI"
"80",0.4074,2004-03-21,"NDVI"
"81",0.2874,2004-03-29,"NDVI"
"82",0.2189,2004-04-06,"NDVI"
"83",0.2178,2004-04-14,"NDVI"
"84",0.2445,2004-04-22,"NDVI"
"85",0.2485,2004-04-30,"NDVI"
"86",0.2773,2004-05-08,"NDVI"
"87",0.1816,2004-05-16,"NDVI"
"88",0.1735,2004-05-24,"NDVI"
"89",0.1636,2004-06-01,"NDVI"
"90",0.1876,2004-06-09,"NDVI"
"91",0.1663,2004-06-17,"NDVI"
"92",0.3273,2004-06-25,"NDVI"
"93",0.4698,2004-07-03,"NDVI"
"94",0.4918,2004-07-11,"NDVI"
"95",0.6459,2004-07-19,"NDVI"
"96",0.7855,2004-07-27,"NDVI"
"97",0.8077,2004-08-04,"NDVI"
"98",0.7687,2004-08-12,"NDVI"
"99",0.8538,2004-08-20,"NDVI"
"100",0.7685,2004-08-28,"NDVI"
"101",0.7839,2004-09-05,"NDVI"
"102",0.6911,2004-09-13,"NDVI"
"103",0.7126,2004-09-21,"NDVI"
"104",0.6385,2004-09-29,"NDVI"
"105",0.5238,2004-10-07,"NDVI"
"106",0.3132,2004-10-15,"NDVI"
"107",0.183,2004-10-23,"NDVI"
"108",0.1616,2004-10-31,"NDVI"
"109",0.1445,2004-11-08,"NDVI"
"110",0.196,2004-11-16,"NDVI"
"111",0.4931,2004-11-24,"NDVI"
"112",0.6082,2004-12-02,"NDVI"
"113",0.6807,2004-12-10,"NDVI"
"114",0.8054,2004-12-18,"NDVI"
"115",0.8586,2004-12-26,"NDVI"
"116",0.8585,2005-01-01,"NDVI"
"117",0.8586,2005-01-09,"NDVI"
"118",0.7494,2005-01-17,"NDVI"
"119",0.7784,2005-01-25,"NDVI"
"120",0.8198,2005-02-02,"NDVI"
"121",0.8375,2005-02-10,"NDVI"
"122",0.7861,2005-02-18,"NDVI"
"123",0.7928,2005-02-26,"NDVI"
"124",0.7796,2005-03-06,"NDVI"
"125",0.5191,2005-03-14,"NDVI"
"126",0.4079,2005-03-22,"NDVI"
"127",0.3337,2005-03-30,"NDVI"
"128",0.2256,2005-04-07,"NDVI"
"129",0.2331,2005-04-15,"NDVI"
"130",0.22,2005-04-23,"NDVI"
"131",0.2143,2005-05-01,"NDVI"
"132",0.1798,2005-05-09,"NDVI"
"133",0.1725,2005-05-17,"NDVI"
"134",0.1824,2005-05-25,"NDVI"
"135",0.1502,2005-06-02,"NDVI"
"136",0.2251,2005-06-10,"NDVI"
"137",0.2154,2005-06-18,"NDVI"
"138",0.2979,2005-06-26,"NDVI"
"139",0.402,2005-07-04,"NDVI"
"140",0.4923,2005-07-12,"NDVI"
"141",0.575,2005-07-20,"NDVI"
"142",0.7881,2005-07-28,"NDVI"
"143",0.7525,2005-08-05,"NDVI"
"144",0.7201,2005-08-13,"NDVI"
"145",0.81,2005-08-21,"NDVI"
"146",0.8114,2005-08-29,"NDVI"
"147",0.8479,2005-09-06,"NDVI"
"148",0.7394,2005-09-14,"NDVI"
"149",0.6764,2005-09-22,"NDVI"
"150",0.5543,2005-09-30,"NDVI"
"151",0.544,2005-10-08,"NDVI"
"152",0.3044,2005-10-16,"NDVI"
"153",0.1278,2005-10-24,"NDVI"
"154",0.1518,2005-11-01,"NDVI"
"155",0.1662,2005-11-09,"NDVI"
"156",0.2506,2005-11-17,"NDVI"
"157",0.2815,2005-11-25,"NDVI"
"158",0.4953,2005-12-03,"NDVI"
"159",0.4652,2005-12-11,"NDVI"
