"","i","years","country","state","district","season","area","production_tonnes","yield_tn_ha","plant_dates","harvest_dates","season_length","EVI_annual_mean","EVI_annual_min","EVI_annual_max","EVI_annual_AUC","EVI_annual_5th_prct","EVI_annual_sd","EVI_annual_max_5th_prct","EVI_annual_AUC_5th_prct","EVI_growing_max_date","EVI_growing_mean","EVI_growing_min","EVI_growing_max","EVI_growing_AUC","EVI_growing_5th_prct","EVI_growing_max_5th_prct","EVI_growing_AUC_5th_prct","EVI_growing_AUC_v2","EVI_growing_AUC_leading","EVI_growing_AUC_trailing","EVI_growing_AUC_diff_mn","EVI_growing_AUC_diff_90th","EVI_all_growing_5th_prct","EVI_growing_sd","Whe_Yeild_kgha"
"1",1,2002,"India","Haryana","AMBALA","Rabi",80.637,287000,3.56,321,137,181,3110.29618541324,2237.84465735391,4541.07879154522,47454225382.2412,2240.03862539311,777.532042718811,3998.90431543688,14149943202.747,41,2823.3489979638,1546.42064652966,4289.51243326263,65885.011829647,1584.28273422073,3608.02203887223,36044.7319815087,65868.2432991894,34022.7345938767,31868.7106679091,2729.19303598742,-5476.80732962889,1694.16865903606,932.237298557037,NA
"2",1,2003,"India","Haryana","AMBALA","Rabi",83.658,273000,3.26,321,129,173,3050.03674007465,1409.72253711695,5075.79238175738,95228411019.8369,1526.69082041249,1173.78524626158,3998.90431543688,14149943202.747,41,2816.76563872804,1658.29349813501,4114.40294741461,62962.3153383237,1723.34327689607,3608.02203887223,36044.7319815087,62949.9971331497,34516.5778345163,28426.1598114934,-193.503455335842,-8399.50382095216,1694.16865903606,853.964261441731,NA
"3",1,2004,"India","Haryana","AMBALA","Rabi",82.322,267000,3.24,321,137,182,2990.513391319,1658.29349813501,4432.10687483984,92707982483.9614,1726.09021429094,904.141695493194,3998.90431543688,14149943202.747,41,2981.11551302843,1811.88802749945,4406.94350179185,69607.6165990407,1844.44843578586,3608.02203887223,36044.7319815087,69567.6073251156,37790.9338556506,31780.8016214608,6451.79780538118,-1754.20256023514,1694.16865903606,907.027626803177,NA
"4",1,2005,"India","Haryana","AMBALA","Rabi",83.017,314000,3.78,321,137,181,3041.25572113831,1510.55253053463,4995.74067505302,94429730356.474,1586.7594840196,1123.13636833954,3998.90431543688,14149943202.747,41,2747.20632911843,1754.88949023623,3978.96824032765,63876.9918127171,1773.37988645506,3608.02203887223,36044.7319815087,63899.2629132502,32385.5535761223,31436.9784359839,721.173019057591,-7484.82734655873,1694.16865903606,728.638781273332,NA
"5",1,2006,"India","Haryana","AMBALA","Rabi",81.679,312000,3.82,321,129,173,3096.86744365553,1754.88949023623,5412.83810395315,96378437948.443,1836.54236085716,1075.08431331422,3998.90431543688,14149943202.747,49,2871.50493644318,1951.81977254443,3902.64166605719,64030.1760739538,1964.82813757039,3608.02203887223,36044.7319815087,64005.9857589934,36974.7267640391,26996.992624952,874.35728029428,-7331.64308532204,1694.16865903606,656.770803505604,NA
"6",1,2007,"India","Haryana","AMBALA","Rabi",82.163,327000,3.98,321,129,173,3088.46097255262,1759.65435529876,5144.6678798076,96208712124.9628,1919.16912802604,990.04498769474,3998.90431543688,14149943202.747,49,2595.75024920236,1566.39206830981,3592.5157427046,57951.7078681791,1666.1872120237,3608.02203887223,36044.7319815087,57922.2901151107,34964.6968393511,22946.7967302167,-5204.11092548049,-13410.1112910968,1694.16865903606,642.974844193554,NA
"7",1,2008,"India","Haryana","AMBALA","Rabi",83.629,309000,3.69,313,145,198,2966.55134776428,1566.39206830981,5011.76982008338,92182635280.4185,1719.77314084041,964.273521667237,3998.90431543688,14149943202.747,25,2714.55490044951,1633.2423206319,4227.71878885395,68650.5051478627,1650.80748555547,3608.02203887223,36044.7319815087,68657.8225883127,32125.425866243,36489.6171123179,5494.68635420315,-2711.31401141317,1694.16865903606,904.902595174042,NA
"8",1,2009,"India","Haryana","AMBALA","Rabi",86.872,346000,3.98,321,145,189,2956.7411495098,1461.57534922841,5273.95390524968,91739891520.1326,1552.59703064434,1179.00348261002,3998.90431543688,14149943202.747,49,2666.60346325661,1437.68894902362,4166.49071162144,64975.6499033586,1540.34938565055,3608.02203887223,36044.7319815087,64948.4424927002,37292.2741542043,27621.9034291974,1819.83110969906,-6386.16925591726,1694.16865903606,914.407050288201,NA
"9",1,2010,"India","Haryana","AMBALA","Rabi",86.795,314000,3.62,321,121,165,3015.57569302761,1437.68894902362,5485.43841462298,93943711323.6756,1616.99386381921,1193.42753216571,3998.90431543688,14149943202.747,49,3070.33059114949,1831.9979338843,4898.85502450084,65514.0436506528,1871.33968496307,3608.02203887223,36044.7319815087,65511.6513787254,41028.0340698605,24420.5517229663,2358.22485699323,-5847.77550862309,1694.16865903606,932.330767070298,NA
"10",1,2011,"India","Haryana","AMBALA","Rabi",87.061,423000,4.86,313,145,197,3147.6609665932,1812.2145834857,5293.51098626947,97945836657.6098,1840.11158396109,1099.45856820644,3998.90431543688,14149943202.747,33,2746.09981453073,1514.507496526,3968.55331675565,69670.9621077167,1585.8640952973,3608.02203887223,36044.7319815087,69651.1763871165,33734.6309136459,35891.3364878525,6515.14331405715,-1690.85705155917,1694.16865903606,854.288069248084,NA
"11",1,2012,"India","Haryana","AMBALA","Rabi",87.168,366000,4.2,329,137,174,3074.96566503679,1489.60484165874,5724.729835825,95486476414.2573,1508.21939954655,1196.56648635,3998.90431543688,14149943202.747,49,2979.53207129888,1750.52422657793,4409.85904702699,66542.1970711882,1754.52897133036,3608.02203887223,36044.7319815087,66549.7755247568,36802.4364049569,29674.2818680966,3386.37827752864,-4819.62208808768,1694.16865903606,879.347673548742,NA
"12",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,313,145,197,3123.08823542756,1741.19066773934,5516.38266883794,101602092346.829,1754.52897133036,1055.15733631463,3998.90431543688,14149943202.747,33,3032.63579936506,1749.58447304907,4545.30276822936,76917.4923286846,1812.21021173115,3608.02203887223,36044.7319815087,76893.6630331807,36046.5275434435,40843.954676019,13761.673535025,5555.67316940871,1694.16865903606,949.20507912696,NA
