"","i","date","year","country","state","district","sub_district","plant_dates","harvest_dates","EVI_MN","EVI_growing_max","EVI_growing_max_date","EVI_growing_mean"
"1",1,2002-07-04,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,2096.81346446552,6473.17967451118,2003-02-10,3798.06862709285
"2",1,2002-07-12,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,2445.42943449245,6473.17967451118,2003-02-10,3798.06862709285
"3",1,2002-07-20,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,1788.57346914881,6473.17967451118,2003-02-10,3798.06862709285
"4",1,2002-07-28,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,3368.07917105725,6473.17967451118,2003-02-10,3798.06862709285
"5",1,2002-08-05,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,3257.7564453811,6473.17967451118,2003-02-10,3798.06862709285
"6",1,2002-08-13,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,3403.92368575108,6473.17967451118,2003-02-10,3798.06862709285
"7",1,2002-08-21,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,4122.39613628381,6473.17967451118,2003-02-10,3798.06862709285
"8",1,2002-08-29,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,4540.7207352769,6473.17967451118,2003-02-10,3798.06862709285
"9",1,2002-09-06,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,4696.72340475354,6473.17967451118,2003-02-10,3798.06862709285
"10",1,2002-09-14,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,4383.30097178316,6473.17967451118,2003-02-10,3798.06862709285
"11",1,2002-09-22,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,4190.47788315186,6473.17967451118,2003-02-10,3798.06862709285
"12",1,2002-09-30,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,4038.96946493385,6473.17967451118,2003-02-10,3798.06862709285
"13",1,2002-10-08,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,3672.60821917808,6473.17967451118,2003-02-10,3798.06862709285
"14",1,2002-10-16,"2002","India","Haryana","FATEHABAD","FATEHABAD",2002-10-24,2003-05-01,3361.70551457675,6473.17967451118,2003-02-10,3798.06862709285
