"","i","years","country","state","district","season","area","production_tonnes","yield_tn_ha","plant_dates","harvest_dates","season_length","VEG_annual_mean","VEG_annual_min","VEG_annual_max","VEG_annual_AUC","VEG_annual_5th_prct","VEG_annual_sd","VEG_annual_max_5th_prct","VEG_annual_AUC_5th_prct","VEG_growing_max_date","VEG_growing_mean","VEG_growing_min","VEG_growing_max","VEG_growing_AUC","VEG_growing_5th_prct","VEG_growing_max_5th_prct","VEG_growing_AUC_5th_prct","VEG_growing_AUC_v2","VEG_growing_AUC_leading","VEG_growing_AUC_trailing","VEG_growing_AUC_diff_mn","VEG_growing_AUC_diff_90th","VEG_all_growing_5th_prct","VEG_growing_sd","Whe_Yeild_kgha","yield_tn_ha_dual"
"1",1,2002,"India","Haryana","AMBALA","Rabi",80.637,287000,3.56,313,137,189,4766.34930735314,3275.9207196665,6715.12318946598,72864247847.5599,3399.05015358736,1006.66720441908,6238.9091439333,22185714317.3708,33,4467.60220234829,2444.19664667593,6274.41002340379,108535.238692088,2520.79857383164,5679.77027627441,60295.0142274585,108518.428605113,52674.2797242752,55837.744982125,2680.17531005708,-10184.7657725067,2694.68830450523,1292.05342053065,NA,3.56
"2",1,2003,"India","Haryana","AMBALA","Rabi",83.658,273000,3.26,313,129,181,4634.40158942518,2301.0858260806,7098.66373107274,144708985514.924,2410.00609686974,1474.3307178635,6238.9091439333,22185714317.3708,33,4558.06591843148,2651.54450376655,6298.72677905361,106298.116440486,2757.53348204491,5679.77027627441,60295.0142274585,106268.455479055,54809.0868633067,51475.7201024544,443.053058454811,-12421.888024109,2694.68830450523,1273.0253016742,NA,3.26
"3",1,2004,"India","Haryana","AMBALA","Rabi",82.322,267000,3.24,313,145,198,4657.27340980849,2628.00667373656,6393.51652892562,144093750059.506,2682.00300318145,1282.82703047342,6238.9091439333,22185714317.3708,41,4662.2218329667,2622.20805602282,6664.85372632195,118089.033268696,2624.69087252249,5679.77027627441,60295.0142274585,118114.53666357,65261.8247670112,52774.5986942799,12233.9698866648,-630.971195899008,2694.68830450523,1426.51830984611,NA,3.24
"4",1,2005,"India","Haryana","AMBALA","Rabi",83.017,314000,3.78,313,145,197,4677.50345024659,2374.84833248007,7190.46758234724,144908009382.168,2418.39064031303,1523.17312820573,6238.9091439333,22185714317.3708,33,4394.12480974038,2762.98178892708,5844.27457397791,111049.157993548,2798.54474694654,5679.77027627441,60295.0142274585,111028.136271344,52329.4846473029,58686.4833225686,5194.09461151691,-7670.8464710469,2694.68830450523,1116.10763617084,NA,3.78
"5",1,2006,"India","Haryana","AMBALA","Rabi",81.679,312000,3.82,313,137,189,4747.84224375746,2762.98178892708,7192.82810385811,147355434161.45,2826.06215808528,1348.50725464703,6238.9091439333,22185714317.3708,49,4586.68708162913,2930.03453887223,5976.58304688071,111228.809617454,2936.51956776128,5679.77027627441,60295.0142274585,111249.44203378,65201.9786215619,45967.7933779104,5373.74623542273,-7491.19484714107,2694.68830450523,1050.14109782038,NA,3.82
"6",1,2007,"India","Haryana","AMBALA","Rabi",82.163,327000,3.98,313,129,181,4758.81880109518,2775.9836904849,7021.08446577048,147739893464.38,2891.02156348278,1235.29539319423,6238.9091439333,22185714317.3708,17,4373.03120937257,2670.4769436115,5671.11215534265,101824.803848884,2713.00150113362,5679.77027627441,60295.0142274585,101813.465674543,41844.3194630532,59933.1616681564,-4030.25953314691,-16895.2006157107,2694.68830450523,1058.74681885699,NA,3.98
"7",1,2008,"India","Haryana","AMBALA","Rabi",83.629,309000,3.69,313,145,198,4625.04381837729,2459.22588558352,6879.93969224013,143337154011.967,2710.62226376801,1289.451653572,6238.9091439333,22185714317.3708,17,4456.53120341043,2558.46218825422,6426.52466539896,112699.542409349,2662.01641556352,5679.77027627441,60295.0142274585,112685.80181745,46083.5319193146,66549.9823359023,6844.47902731788,-6020.46205524592,2694.68830450523,1349.81865645795,NA,3.69
"8",1,2009,"India","Haryana","AMBALA","Rabi",86.872,346000,3.98,313,145,197,4612.59980789324,2348.72089153807,7289.07018314214,142884759105.976,2406.48943721202,1559.01560013559,6238.9091439333,22185714317.3708,49,4363.89326843894,2389.88073209976,6245.59849703796,110489.223984764,2444.38238590653,5679.77027627441,60295.0142274585,110477.298719631,66294.875662457,44158.6696413384,4634.16060273329,-8230.78047983052,2694.68830450523,1392.15804317742,NA,3.98
"9",1,2010,"India","Haryana","AMBALA","Rabi",86.795,314000,3.62,313,129,181,4681.935778416,2389.88073209976,7300.91602410301,145342159943.546,2489.63648431215,1557.26250851747,6238.9091439333,22185714317.3708,41,4791.71744599265,2968.35008776421,6608.78317394723,111644.141838128,2971.4947176918,5679.77027627441,60295.0142274585,111630.114995786,62861.2781188736,48762.3668530925,5789.0784560975,-7075.8626264663,2694.68830450523,1275.0806831551,NA,3.62
"10",1,2011,"India","Haryana","AMBALA","Rabi",87.061,423000,4.86,313,145,197,4857.67813417188,2944.58487530169,7023.74717720326,150906749985.194,2972.06646858773,1354.28824238606,6238.9091439333,22185714317.3708,17,4510.09416744741,2462.79726468222,6315.67847217143,114196.362043159,2502.16570339355,5679.77027627441,60295.0142274585,114199.110598568,44434.5579695873,69707.3367062844,8341.29866112785,-4523.64242143596,2694.68830450523,1266.61360202939,NA,4.86
"11",1,2012,"India","Haryana","AMBALA","Rabi",87.168,366000,4.2,321,137,182,4701.96381468962,2347.27440942002,7351.29446528223,145696245531.547,2364.47601660206,1516.1548027274,6238.9091439333,22185714317.3708,49,4770.10120462469,2860.43765084473,6553.01047685219,111144.169416345,2866.17695092518,5679.77027627441,60295.0142274585,111135.631920573,63619.4893796046,47480.3107004909,5289.10603431436,-7575.83504824944,2694.68830450523,1269.83440829737,NA,4.2
"12",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,313,137,189,4885.20092658868,2763.64545088861,7643.0761456636,156526685279.667,2865.65519637241,1391.85997211291,6238.9091439333,22185714317.3708,33,4966.35033897543,2980.01616324142,6621.33211438602,120793.195536834,3097.61811599503,5679.77027627441,60295.0142274585,120739.511463854,59233.2227039069,61537.4856769715,14938.1321548034,2073.1910722396,2694.68830450523,1312.57542012818,NA,NA
"13",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,313,145,197,4976.75882666887,2723.24711109486,7343.72645288748,150961008143.24,2839.19645652015,1465.78057793595,6238.9091439333,22185714317.3708,33,4646.90182043692,2889.1860966869,6682.93861990785,84983.4704647828,2911.83682622687,5679.77027627441,60295.0142274585,84944.912005474,36555.4753000626,48345.6780752416,-20871.5929172481,-33736.5339998119,2694.68830450523,1319.41618187476,NA,NA
"14",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,313,33,85,4958.88423576372,2729.58754479631,7280.98602999066,158838566301.134,2826.15135303152,1406.72330876372,6238.9091439333,22185714317.3708,33,5341.91923151247,3971.23592115849,6221.73054560082,58995.6217939151,3971.23592115849,5679.77027627441,60295.0142274585,59003.7223326731,58995.6217939151,NA,-46859.4415881157,-59724.3826706795,2694.68830450523,823.936217111567,NA,NA
"15",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,NA,NA,NA,6015.56102275885,5766.70193081255,6221.73054560082,16554766147.3498,5766.70193081255,188.744197549784,6238.9091439333,22185714317.3708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2,2002,"India","Haryana","BHIWANI","Rabi",127.732,425000,3.33,321,145,189,2534.12079189309,1773.9867850366,3219.93437245866,38530308953.8501,1884.34396855516,396.024065809366,3377.96140149891,16314685839.1516,49,2878.99705593861,1460.2037747357,4737.84778395229,70128.3243959852,1478.39142314991,4735.09113580916,43622.8552358206,70125.0196418916,40045.193350234,30016.5038242551,-7882.12421714053,-19209.7514996928,1689.68347248577,1098.14094463711,NA,3.33
"17",2,2003,"India","Haryana","BHIWANI","Rabi",130.308,456000,3.5,313,121,173,3041.08966485286,1329.96768772025,4800.20466286117,94489837295.5584,1479.90706051776,1104.00060271857,3377.96140149891,16314685839.1516,33,3455.99606171354,1716.47596909732,5192.13069259962,77370.7807332937,1728.04702155056,4735.09113580916,43622.8552358206,77368.6788725152,40760.0774029115,36580.1412550788,-639.667879831992,-11967.2951623842,1689.68347248577,1211.86775959002,NA,3.5
"18",2,2004,"India","Haryana","BHIWANI","Rabi",126.605,415000,3.28,305,129,190,3208.16676140075,1653.81035510979,5192.13069259962,99173721416.4037,1700.85857820548,1112.21339331402,3377.96140149891,16314685839.1516,57,3586.43444155716,1758.34539848197,5540.33809985294,87566.2034002107,1764.14235971808,4735.09113580916,43622.8552358206,87564.0296449199,61618.5263740363,25920.8940457695,9555.75478708497,-1771.87249546727,1689.68347248577,1319.78120024871,NA,3.28
"19",2,2005,"India","Haryana","BHIWANI","Rabi",118.627,39000,0.33,313,137,189,3287.87543490875,1660.6649295202,5540.33809985294,101726436925.703,1701.73133437246,1168.59959096449,3377.96140149891,16314685839.1516,49,3187.76541888097,1610.31104635403,4843.8985904039,77696.4123605483,1613.14394822445,4735.09113580916,43622.8552358206,77685.7480838433,48286.7343969321,29357.3891924774,-314.036252577425,-11641.6635351297,1689.68347248577,1157.9272784364,NA,0.33
